음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
고렝 숭실대본점,서울 동작구 상도로61길 72 제이플러스 지하 1층 103호,아시안,0,쌀국수,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAyMjlfNDAg%2FMDAxNzA5MTgxMTYxNTQ0.PvS7p9KPH4iWl4x03U-ixPuAJZNMI3qfTXkWSuBd4Icg.3M-KROVfms3XjytNWTD9OHR9SPi4YYdxfC4b2xcufi4g.JPEG%2F20240228_194909.jpg.jpg%3Ftype%3Dw1500_60_sharpen
철탄 함바그 텐동,서울 동작구 상도로61가길 2 1층 철탄 함바그 텐동,일식,,텐동,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAzMzFfMTgz%2FMDAxNzExODg1NjM0OTMz.GKQIia6-EQjlxL8Mpr8YwcLn9P6WScaKA3hf2q134VQg.-p8vYEe8dEBv5GnY7yXcCmZYz-FddHtR9ahEsNYzIj8g.JPEG%2F797F36C0-5760-47F8-8804-4653795B146F.jpeg%3Ftype%3Dw1500_60_sharpen
먹돼지,서울 동작구 상도로67길 32 1층,한식,"1,2",삼겹살,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MDFfMTY5%2FMDAxNjkwODk4MDQxMDc3.-02wNXb_HygOGvkarroq26NeHLOukmjCewk8HVUSj68g.TUeAAJ76Jj_IAKdCcNhp3s8D87YgacpS0HTey8FpHLwg.JPEG.skyloves90%2FDSC02379.JPG
은화수식당 숭실대점,서울 동작구 사당로 24-1 1층,일식,0,돈까스,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMjZfMTE3%2FMDAxNzMyNTk0NTQ1NTk2.T415tsx-4uE2-3PHrHO7SCu0nA2NE86EVeVZOOuvjX8g.hwrcmPUQAUUk1EGpqAC1FAU_C6Zeu41UE7RMc-PzpCQg.JPEG%2F0BC3109F-159D-4A0C-AFCB-1CA7975B1120.jpeg%3Ftype%3Dw1500_60_sharpen
송이네집밥,서울 동작구 상도로67길 21 1층,한식,0,철판요리,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzEwMDVfOTIg%2FMDAxNjk2NDgyNTg1MzU1.4kuPzR20DcyIkzsK7AgJQ9GUEUXorpI0JXBsNb6B8bog.JyJNN_SRA1Wlqg3uOwa7ZVMnHXhSS2CoEFnvqm2T02Ug.JPEG.pak20000%2F20230806%25A3%25DF113400.jpg
모두의주막,서울 동작구 상도로67길 31 2층,술집,"1,2",소주,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210924_181%2F1632485378029oujJz_JPEG%2FzotdgadHkGcZK1vdJsKoVBGB.jpeg.jpg
부리또집,서울 동작구 상도로61길 23 1층,양식,0,브리또,,1,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAxMTVfMTQ1%2FMDAxNzA1MzE2MjE2OTAz.fVrl4wFpXpNqkHlcmkWTmrAgYxjNKSq5GNUZKBvCkFQg.SDfYO19Lha3gX_iTwzYTr3qoPU6zj0Xmy0jn5-J4BFQg.JPEG.bears0722%2F20240115%25A3%25DF175327.jpg
크라이치즈버거 숭실대점,"서울 동작구 상도로61길 28 지층,1층",패스트푸드,0,햄버거,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250204_209%2F1738676364054WrryM_PNG%2F%25B9%25E8%25B9%25CE%25B9%25E8%25B3%25CA2.png
889와규,서울 동작구 상도로61길 4 1층,양식,0,와규,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240225_251%2F1708837750970fRdSB_JPEG%2FIMG_9752.jpeg
배달짜글오짜글 상도점,서울 동작구 상도로 387-1 1층,패스트푸드,,짜글이,o,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_277%2F1587173039063Xst6E_JPEG%2F4XYq9W5LdwrOFZnMcppabbZQ.jpg
